movieId,title,genres,year,clean_title,popularity_score,avg_rating
1,Toy Story (1995),Animation|Children's|Comedy,1995,Toy Story,2077,4.146846413
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,Jumanji,701,3.201141227
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men,478,3.016736402
4,Waiting to Exhale (1995),Comedy|Drama,1995,Waiting to Exhale,170,2.729411765
5,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II,296,3.006756757
6,Heat (1995),Action|Crime|Thriller,1995,Heat,940,3.878723404
7,Sabrina (1995),Comedy|Romance,1995,Sabrina,458,3.410480349
8,Tom and Huck (1995),Adventure|Children's,1995,Tom and Huck,68,3.014705882
9,Sudden Death (1995),Action,1995,Sudden Death,102,2.656862745
10,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye,888,3.540540541
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The",1033,3.793804453
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It,160,2.3625
13,Balto (1995),Animation|Children's,1995,Balto,99,3.262626263
14,Nixon (1995),Drama,1995,Nixon,153,3.54248366
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island,146,2.45890411
16,Casino (1995),Drama|Thriller,1995,Casino,682,3.793255132
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility,835,4.02754491
18,Four Rooms (1995),Thriller,1995,Four Rooms,157,3.337579618
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls,389,2.480719794
20,Money Train (1995),Action,1995,Money Train,160,2.5375
21,Get Shorty (1995),Action|Comedy|Drama,1995,Get Shorty,1356,3.623893805
22,Copycat (1995),Crime|Drama|Thriller,1995,Copycat,378,3.349206349
23,Assassins (1995),Thriller,1995,Assassins,126,2.857142857
24,Powder (1995),Drama|Sci-Fi,1995,Powder,624,3.179487179
25,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas,980,3.651020408
26,Othello (1995),Drama,1995,Othello,100,3.53
27,Now and Then (1995),Drama,1995,Now and Then,61,2.93442623
28,Persuasion (1995),Romance,1995,Persuasion,179,4.055865922
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995,"City of Lost Children, The",403,4.062034739
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao),74,3.648648649
